"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1
"2",0,0,0,1,1,1,0,1,0,1,1,1,0,1,1,1,0,0,0,1
"3",0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1
"4",0,0,0,1,1,1,0,0,1,0,1,1,1,1,0,1,0,1,1,1
"5",0,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1
"6",0,0,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,1
"7",1,0,1,1,0,1,0,0,1,1,0,1,0,1,1,1,0,1,0,1
"8",0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,1
"9",0,1,0,1,0,1,1,1,0,0,1,1,0,1,1,1,0,0,1,1
"10",0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1
"11",0,1,1,1,0,1,0,1,0,0,0,1,1,1,0,1,1,0,1,1
"12",0,0,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,1,1
"13",1,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1
"14",0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,1,1,1
"15",0,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,1,1
"16",1,0,0,1,1,1,0,0,1,0,1,1,1,1,0,0,0,1,0,1
"17",0,0,1,1,1,1,0,0,1,0,1,1,0,1,0,0,0,1,1,1
"18",0,1,0,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,1,1
"19",0,1,0,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,1,1
"20",0,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1
"21",0,0,1,1,1,1,0,0,1,0,1,1,1,1,0,0,0,1,1,1
"22",0,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,1,1
"23",0,1,1,1,0,1,1,1,1,0,0,0,1,1,0,0,0,1,1,1
"24",0,0,1,1,1,1,0,0,0,1,1,1,0,1,1,1,0,0,1,1
"25",0,0,0,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1
"26",1,0,1,1,0,1,0,0,1,0,0,1,1,1,0,1,0,1,1,1
"27",0,0,1,1,0,1,0,0,1,0,0,1,0,1,1,1,0,1,1,1
"28",0,1,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,1,1
"29",0,0,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0,1,1,1
"30",0,1,0,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,1,1
"31",0,0,0,1,1,1,0,1,0,0,1,1,0,1,1,1,0,0,1,1
"32",0,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1
"33",0,1,0,1,0,1,1,0,1,0,1,0,1,1,1,0,0,1,1,1
"34",0,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1,0,0,1,1
"35",0,1,0,1,0,1,1,1,0,0,1,1,0,1,1,1,0,0,1,1
"36",0,0,1,1,0,1,0,0,1,0,1,1,0,1,1,1,0,1,1,1
"37",0,0,0,1,0,1,0,0,1,0,1,1,0,1,1,1,0,1,1,1
"38",0,1,1,1,0,1,0,1,0,0,0,1,0,1,1,1,0,0,1,1
"39",0,1,0,1,0,1,1,1,1,0,1,0,0,1,1,0,0,0,1,1
"40",0,1,0,1,0,1,1,0,1,0,1,0,1,1,0,0,0,1,1,1
"41",0,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1
"42",0,1,0,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,1,1
"43",0,1,0,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,1,1
"44",0,1,0,1,0,1,1,1,1,0,0,1,0,1,1,0,0,1,1,1
"45",0,1,0,1,0,1,1,1,0,0,1,1,0,1,1,1,0,0,1,1
"46",0,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1
"47",0,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1
"48",0,1,0,1,0,1,1,1,1,0,1,0,1,1,1,0,0,0,1,1
"49",0,1,1,1,0,1,1,1,1,0,0,0,1,1,0,1,0,0,1,1
"50",1,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,0,1
"51",0,1,0,1,0,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1
"52",0,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1
"53",0,1,0,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,1,1
"54",0,1,0,1,0,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1
"55",0,1,0,1,0,1,1,1,0,0,1,1,0,1,1,1,0,0,1,1
"56",1,0,1,0,1,1,0,0,1,1,1,1,1,1,0,1,0,1,0,1
"57",0,1,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,1,1
"58",0,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1
"59",0,1,1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,0,1,1
"60",0,0,0,1,0,1,0,1,0,1,1,1,0,1,1,1,0,0,1,1
"61",0,1,0,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,1,1
"62",0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,1
"63",0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1
"64",0,0,0,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1
"65",0,1,0,1,0,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1
"66",0,1,0,1,0,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1
"67",0,1,0,1,1,1,0,0,1,0,0,1,1,1,0,1,1,1,1,1
"68",0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0,1,1
"69",0,0,1,1,1,1,0,0,1,0,1,0,1,0,0,1,0,1,1,1
"70",0,0,0,1,0,1,0,0,1,0,1,1,1,1,1,1,0,0,1,1
"71",0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1
"72",0,1,0,1,1,1,1,0,1,0,1,0,1,1,0,0,0,1,1,1
"73",0,1,1,1,0,1,0,1,0,0,0,1,0,1,1,1,0,0,1,1
"74",0,1,1,1,0,1,0,1,0,0,0,1,0,1,1,1,0,0,1,1
"75",0,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1
"76",0,0,0,1,0,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1
"77",1,0,0,1,1,1,0,0,1,0,0,1,1,1,0,1,0,1,1,1
"78",0,1,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,1,1
"79",0,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1
"80",0,0,0,1,0,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1
"81",0,0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,0,0,1
"82",1,0,1,0,1,1,0,0,1,0,1,1,1,1,0,0,0,1,0,1
"83",1,1,0,1,0,1,1,0,1,0,1,0,1,1,0,0,0,1,1,1
