"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",1,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0,1,1,0,1
"2",0,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1
"3",1,1,0,1,1,0,0,1,0,1,1,1,1,0,0,0,1,1,0,1
"4",0,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,0,0,0,1
"5",1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1
"6",1,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,1,1,1,1
"7",1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1
"8",0,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1
"9",0,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1
"10",0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,1
"11",1,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,1,1,0,1
"12",1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1
"13",1,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,1
"14",1,0,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,1
"15",0,0,0,1,0,1,0,1,1,1,1,1,1,0,0,0,1,0,0,1
"16",0,0,0,1,0,1,0,1,0,1,1,1,1,0,0,0,1,1,0,1
"17",0,0,0,1,1,1,0,1,0,1,1,1,1,0,0,0,1,1,0,1
"18",0,0,0,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1
"19",1,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,1,1,0,1
"20",0,0,0,1,0,1,1,1,0,1,1,1,1,0,0,1,1,0,0,1
"21",1,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,1,0,1,1
"22",1,0,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1
"23",0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1
"24",1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,0,1
"25",1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,0,1
"26",1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,1,1
"27",1,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1
"28",1,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,1
"29",0,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1
"30",1,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1
"31",1,0,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1
"32",1,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,1,1,1
"33",1,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,0,1
"34",1,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1
"35",1,0,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,1
"36",0,0,0,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1
"37",0,0,0,1,0,1,0,1,0,1,1,1,1,0,0,0,1,0,0,1
"38",1,0,0,1,0,1,0,1,0,1,1,1,1,0,0,0,1,1,1,1
"39",1,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,1
"40",0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,0,1
"41",1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1
"42",1,0,0,1,0,1,1,1,0,0,1,1,1,0,1,0,1,0,0,1
"43",0,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,1,1,0,1
"44",1,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1
"45",1,1,0,1,1,0,1,1,0,1,1,1,1,0,0,0,1,0,0,1
"46",0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1
"47",1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,0,1
"48",0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1
"49",1,0,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,0,1
"50",1,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,1
"51",1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,1,1,1,1
"52",0,1,0,1,0,1,0,1,0,1,1,1,1,0,0,0,1,0,1,1
"53",0,0,0,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1
"54",0,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1
