"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",1,0,1,1,1,1,0,0,1,0,1,1,1,1,0,0,0,1,1,0
"2",0,1,0,1,1,1,1,0,1,0,0,1,1,0,0,0,1,1,1,0
"3",0,1,0,1,1,1,1,0,1,0,1,1,1,0,0,0,1,1,1,0
"4",0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,1,0
"5",0,1,0,1,1,1,1,0,1,0,1,1,1,0,0,0,1,1,1,0
"6",0,1,0,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,1,0
"7",0,1,0,1,1,1,1,0,1,0,0,1,1,0,0,0,1,1,1,0
"8",0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,1,0
"9",0,1,0,1,1,1,1,0,1,0,0,1,1,0,0,0,1,1,1,0
"10",1,0,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,1,0
"11",0,0,0,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,1,0
"12",0,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,0
"13",0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,1,0
"14",1,1,0,1,1,1,1,0,1,0,1,1,1,0,0,0,1,1,1,0
"15",1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,1,1,0
"16",0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,1,0
"17",1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,0,1,1,1,0
"18",0,1,0,1,1,1,1,0,1,0,0,1,1,0,0,0,1,1,1,0
"19",0,1,0,1,1,1,1,0,1,0,1,0,1,1,0,0,1,1,1,0
"20",0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,1,0
"21",0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,1,0
"22",0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,1,0
"23",0,1,0,1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,1,0
"24",1,0,1,0,1,1,0,0,1,0,1,1,1,1,0,0,0,1,1,0
"25",0,1,0,1,1,1,1,0,1,0,0,1,1,0,0,0,1,1,1,0
"26",0,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,1,1,0
