"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"323",0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
"324",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"325",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1
"326",0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
"327",0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"328",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"329",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"330",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"331",0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
"332",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1
"333",0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
"334",0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
"335",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"336",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"337",0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
"338",0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
"339",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
"340",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"341",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
"342",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"343",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"344",0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
"345",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"346",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"347",0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
"348",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"349",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"350",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
"351",0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
"352",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"353",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
"354",0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
"355",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
"356",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
"357",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0
"358",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"359",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
"360",0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
"361",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"362",0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
"363",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"364",0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
"365",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"366",0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
"367",0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"368",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"369",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"370",0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"371",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
"372",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
"373",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"374",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"375",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"376",0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
"377",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"378",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"379",0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1
"380",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"381",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"382",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
"383",0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0
"384",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"385",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
"386",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"387",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1
"388",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"389",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"390",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"391",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"392",0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
"393",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"394",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"395",0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
"396",0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"397",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"398",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"399",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"400",0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
"401",0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1
"402",0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0
"403",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"404",0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1
"405",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"406",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
"407",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"408",0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
"409",0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
"410",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"411",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"412",0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
"413",0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"414",0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
"415",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"416",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"417",0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
"418",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"419",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"420",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"421",0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
"422",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"423",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"424",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"425",0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1
"426",0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
"427",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"428",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"429",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"430",0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
"431",0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
"432",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
"433",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
"434",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
"435",0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"436",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
"437",0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
"438",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"439",0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0
"440",0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
"441",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"442",0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
"443",0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
"444",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"445",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
"446",0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
"447",0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
"448",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"449",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"450",0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
"451",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"452",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"453",0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
"454",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"455",0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1
"456",0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
"457",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"458",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
"459",0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
"460",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"461",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"462",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"463",0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
"464",0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,1
"465",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
"466",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
"467",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"468",0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
"469",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
"470",0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
"471",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
"472",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"473",0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
"474",0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
"475",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
"476",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"477",0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"478",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"479",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"480",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"481",0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1
"482",0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
"483",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"484",0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
"485",0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
"486",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"487",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"488",0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
"489",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
"490",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"491",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"492",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"493",0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
"494",0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
"495",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
"496",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
"497",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"498",1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
"499",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
"500",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"501",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"502",0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
"503",0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1
"504",0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
"505",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"506",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
"507",0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"508",0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
"509",0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
"510",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"511",0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
"512",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"513",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"514",0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
"515",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"516",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"517",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"518",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"519",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
"520",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"521",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"522",0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
"523",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"524",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"525",0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1
"526",0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1
"527",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"528",0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
"529",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"530",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
"531",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
"532",0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
"533",0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
"534",0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
"535",0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"536",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"537",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"538",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"539",0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"540",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"541",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"542",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"543",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"544",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
"545",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"546",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"547",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"548",0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
"549",0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0
"550",0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
"551",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"552",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"553",0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
"554",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"555",0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0
"556",0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0
"557",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
"558",0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,1
"559",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"560",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
"561",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"562",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1
"563",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"564",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"565",0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"566",0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
"567",0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0
"568",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"569",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"570",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
"571",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
"572",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"573",0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
"574",0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"575",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"576",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"577",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1
"578",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"579",0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
"580",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"581",0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1
"582",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"583",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"584",0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
"585",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
"586",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"587",0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
"588",0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0
"589",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"590",0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
"591",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"592",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"593",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"594",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"595",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"596",0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
"597",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"598",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"599",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"600",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"601",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"602",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"603",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"604",0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
"605",0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
"606",0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
"607",0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
"608",0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
"609",0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
"610",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
"611",0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0
"612",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"613",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"614",0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
"615",0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
"616",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"617",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"618",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"619",0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
"620",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"621",0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
"622",0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
"623",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"624",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"625",0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0
"626",0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1
"627",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"628",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"629",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"630",0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
"631",0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"632",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
"633",0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
"634",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"635",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"636",0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"637",0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"638",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"639",0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"640",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"641",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"642",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
"643",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"644",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"645",0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"646",0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0
