"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,0,1,1,1,0
"2",0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,1
"3",0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,1,1
"4",0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,0,1,1
"5",1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,1
"6",0,1,0,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,1,1
"7",1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,1,1
"8",1,0,0,1,1,0,0,1,1,0,1,1,1,0,1,0,0,0,1,1
"9",1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0,1,1
"10",1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,1,0
"11",1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0
"12",1,0,0,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,1,1
"13",1,1,1,1,1,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1
"14",1,1,1,1,1,0,0,1,0,0,1,1,1,0,1,0,1,1,1,0
"15",1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,1
"16",1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,1,1
"17",1,1,1,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,1,1
"18",1,0,0,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,1,1
"19",1,0,0,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,1,1
"20",0,1,1,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,1,1
"21",0,1,0,1,1,0,1,1,1,0,0,1,1,0,1,1,0,0,1,1
"22",1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,1,1
"23",1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,1,1
"24",1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,1,1
"25",1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,1,1
"26",1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,1,1
"27",1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,1,1
"28",1,1,0,1,1,0,1,1,0,0,1,1,1,0,1,0,0,1,1,0
"29",1,0,0,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,1,1
"30",1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,0,0,0,1,0
"31",0,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,0,1,1
"32",1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,1,1
"33",1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,1,1
"34",1,1,0,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,1,1
