"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",1,0,0,1,1,0,0,1,0,0,1,1,0,1,1,1,0,1,0,0
"2",1,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0
"3",1,0,0,1,0,1,1,1,0,1,0,0,1,1,1,1,0,1,0,0
"4",1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0
"5",1,0,1,1,1,0,0,0,0,1,0,1,0,1,1,1,0,1,0,0
"6",1,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,1
"7",0,1,1,0,1,0,1,1,0,1,1,0,0,1,0,1,0,1,0,0
"8",1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0
"9",1,0,1,1,1,0,0,1,0,1,0,1,0,1,1,1,0,1,0,0
"10",1,0,0,0,0,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0
"11",1,0,0,0,0,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0
"12",1,0,1,1,0,0,0,1,0,1,0,1,1,1,1,1,0,1,0,0
"13",1,0,1,1,1,0,0,1,0,1,0,1,0,1,1,1,0,1,0,0
"14",1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0
"15",1,0,1,1,0,0,0,1,0,1,0,1,1,1,1,1,0,1,0,0
"16",1,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,0,0,1,0
"17",0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,1
"18",1,0,1,1,0,0,0,1,0,1,0,1,1,1,1,1,0,1,0,0
"19",1,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,0,1,1,0
"20",1,0,0,1,1,0,0,1,0,0,0,1,0,1,1,1,0,1,0,1
"21",0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,1,1,0,1,0
"22",1,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0,1,0,0
"23",0,1,1,0,1,0,1,0,1,1,1,0,0,1,0,0,1,0,1,0
"24",0,1,0,0,1,1,1,1,1,0,0,1,0,1,0,1,0,0,1,0
"25",1,1,0,0,1,1,1,1,0,1,1,1,0,0,0,1,0,0,1,0
