"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1
"2",1,0,0,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1
"3",1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1
"4",1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,1,1,0,1
"5",1,0,0,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,0,1
"6",1,1,1,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1
"7",1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,1,1,1,0,1
"8",1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,1,1,0,1
"9",1,1,1,0,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1
"10",1,1,1,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,0,1
"11",1,1,1,1,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1
"12",1,1,1,1,1,0,0,1,1,0,1,1,0,0,1,0,1,1,0,1
"13",1,1,1,0,1,1,0,1,0,0,1,0,1,0,1,1,1,1,0,1
"14",0,1,1,0,1,1,0,1,1,0,0,0,1,0,1,1,1,1,0,1
"15",0,0,1,0,0,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1
"16",1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,1,1,0,1
"17",0,0,1,0,0,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1
"18",1,1,1,1,1,0,0,1,1,0,1,1,0,0,1,1,1,0,0,1
"19",1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1
"20",1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1
"21",1,0,0,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1
"22",1,0,0,0,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1
"23",1,0,0,0,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1
"24",1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1
"25",1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,1,1,0,1
"26",1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1
"27",0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0
"28",0,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,1,1,1,1
"29",1,1,1,1,1,0,0,1,1,0,1,1,0,0,1,0,1,0,0,1
"30",1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,1
"31",1,0,0,0,1,1,0,1,0,1,1,0,1,0,1,1,1,1,0,1
"32",1,1,1,1,1,0,0,0,1,0,1,1,0,0,1,1,1,0,0,1
"33",1,0,0,0,1,1,0,1,0,1,1,0,1,0,1,1,1,1,0,1
"34",1,1,1,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,0,1
"35",1,1,1,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1,0,1
"36",1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,1,1,0,1
"37",0,0,1,0,1,1,0,1,0,0,0,0,1,0,1,1,1,1,1,1
"38",1,1,1,0,1,1,0,1,1,0,1,1,0,0,1,1,1,1,0,1
"39",1,1,1,1,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1
"40",1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,1,1,0,1
"41",1,0,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1
"42",1,1,1,1,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1
